N,seconds
1000,0.002737
2000,0.014749
3000,0.026869
4000,0.041710
5000,0.074271
6000,0.072936
7000,0.096185
8000,0.127709
9000,0.135627
10000,0.160159
11000,0.200133
12000,0.225538
13000,0.261935
14000,0.293480
15000,0.339454
16000,0.393086
17000,0.424433
18000,0.487040
19000,0.553845
20000,0.596149
21000,0.655279
22000,0.709067
23000,0.776100
24000,0.832287
25000,0.915659
26000,0.977762
27000,1.097751
28000,1.227187
29000,1.263477
30000,1.314715
31000,1.404513
32000,1.512706
33000,1.627202
34000,1.756194
35000,1.811277
36000,2.123256
37000,2.013538
38000,2.140367
39000,2.236755
40000,2.381901
41000,2.509258
42000,2.615550
43000,2.779266
44000,2.885710
45000,2.952828
46000,3.286153
47000,3.676228
48000,3.485333
49000,3.499491
50000,3.923414
51000,3.813510
52000,3.943917
53000,4.059169
54000,4.200808
55000,4.792776
56000,4.572127
57000,4.934330
58000,4.895799
59000,5.026253
60000,5.207012
61000,5.595957
62000,6.021564
63000,5.849376
64000,6.014344
65000,6.363247
66000,6.508934
67000,6.452807
68000,6.739367
69000,6.848700
70000,7.312961
71000,7.428921
72000,7.618395
73000,7.751734
74000,8.139334
75000,8.084726
76000,8.350844
77000,8.537787
78000,8.975383
79000,8.984864
80000,9.802345
81000,9.705249
82000,9.728897
83000,9.990794
84000,10.471920
85000,11.201649
86000,12.342026
87000,11.601382
88000,11.411829
89000,11.726601
90000,11.776619
91000,12.024895
92000,12.549485
93000,12.556506
94000,13.339462
95000,13.299692
96000,13.607796
97000,13.650214
98000,13.922540
99000,14.835121
100000,14.689508
101000,14.974650
102000,15.085220
103000,15.601873
104000,15.733386
105000,16.201754
106000,16.493761
107000,16.716832
108000,17.050097
109000,17.354528
110000,17.881610
111000,17.881397
112000,18.459950
113000,18.881017
114000,18.920035
115000,19.738605
116000,19.933971
117000,19.979660
118000,20.407204
119000,20.770577
120000,21.515387
121000,21.544275
122000,22.458068
123000,22.237718
124000,22.414324
125000,22.988645
126000,23.327757
127000,24.252829
128000,24.312250
129000,24.216397
130000,25.329374
131000,25.760875
132000,25.498804
133000,26.000099
134000,26.484115
135000,27.090701
136000,27.112630
137000,27.535442
138000,27.874948
139000,28.726805
140000,28.883437
141000,29.402210
142000,29.877576
143000,30.016237
144000,30.727378
145000,30.730725
146000,31.265443
147000,31.644379
148000,31.954153
149000,32.866710
150000,33.046666
200000,59.433821
250000,92.094504
300000,133.300126
350000,182.674666
400000,238.441803
450000,302.325225
500000,376.107021
