N,seconds
1000,0.003565
2000,0.015141
3000,0.046855
4000,0.070342
5000,0.091506
6000,0.132276
7000,0.184651
8000,0.236393
9000,0.297530
10000,0.378162
11000,0.453515
12000,0.537435
13000,0.658809
14000,0.763725
15000,0.861112
16000,0.966433
17000,1.105898
18000,1.251759
19000,1.397301
20000,1.540992
21000,1.703815
22000,1.889460
23000,2.037102
24000,2.226790
25000,2.447129
26000,2.663776
27000,2.875339
28000,3.053426
29000,3.339572
30000,3.483362
31000,3.797562
32000,3.994837
33000,4.265095
34000,4.572658
35000,4.787022
36000,5.327340
37000,5.433525
38000,5.662947
39000,6.016175
40000,6.291722
41000,6.604895
42000,6.924546
43000,7.328777
44000,7.846922
45000,7.964446
46000,8.335938
47000,8.703881
48000,9.176880
49000,9.497867
50000,9.908076
51000,10.375610
52000,10.673642
53000,11.195491
54000,11.654185
55000,11.996633
56000,12.513601
57000,12.955997
58000,13.483270
59000,13.788670
60000,14.338119
61000,14.835322
62000,15.282794
63000,15.732163
64000,16.280592
65000,17.057003
66000,17.437117
67000,17.805006
68000,18.245483
69000,18.913847
70000,19.408227
71000,19.998770
72000,20.673249
73000,21.156488
74000,21.686332
75000,22.342779
76000,22.921278
77000,23.488999
78000,24.071908
79000,24.782612
80000,25.332532
81000,26.164883
82000,26.625065
83000,27.239462
84000,28.166345
85000,29.447359
86000,29.474581
87000,30.089739
88000,30.742198
89000,31.603591
90000,32.210422
91000,32.958064
92000,33.681113
93000,34.391102
94000,35.391272
95000,35.871103
96000,36.796647
97000,37.419951
98000,38.195621
99000,39.039118
100000,39.840661
101000,40.567512
102000,41.463619
103000,42.590537
104000,43.218745
105000,44.020386
106000,45.043067
107000,45.701581
108000,46.557374
109000,47.437102
110000,48.405506
111000,49.277855
112000,50.004553
113000,50.936302
114000,52.577832
115000,52.869062
116000,53.837875
117000,54.858128
118000,56.548097
119000,56.565147
120000,57.547026
121000,58.495419
122000,60.086978
123000,60.494984
124000,61.319017
125000,62.230202
126000,63.444606
127000,64.556324
128000,65.416547
129000,66.499306
130000,67.566715
131000,69.386711
132000,69.708117
133000,70.619211
134000,71.739774
135000,72.924121
136000,74.071497
137000,75.200759
138000,76.037405
139000,79.083111
140000,80.420725
141000,81.181464
142000,82.849827
143000,83.658081
144000,85.708027
145000,85.159076
146000,85.269571
147000,86.298500
148000,87.705493
149000,89.087624
150000,89.922118
200000,159.974741
250000,250.964909
300000,361.664997
350000,493.202313
400000,646.312885
450000,816.135620
500000,1009.396752
