N,seconds
1000,0.000394
2000,0.000429
3000,0.000565
4000,0.000741
5000,0.000801
6000,0.000921
7000,0.001094
8000,0.001196
9000,0.001403
10000,0.003612
11000,0.001831
12000,0.007108
13000,0.012563
14000,0.012779
15000,0.004243
16000,0.017260
17000,0.006359
18000,0.004734
19000,0.012195
20000,0.006803
21000,0.006447
22000,0.013988
23000,0.007294
24000,0.009867
25000,0.014017
26000,0.005145
27000,0.011062
28000,0.013426
29000,0.008363
30000,0.024427
31000,0.004877
32000,0.012828
33000,0.021300
34000,0.013998
35000,0.018333
36000,0.014144
37000,0.008436
38000,0.006895
39000,0.023410
40000,0.022059
41000,0.015738
42000,0.019374
43000,0.020156
44000,0.014372
45000,0.014574
46000,0.019123
47000,0.019369
48000,0.012578
49000,0.012560
50000,0.026426
51000,0.029539
52000,0.018785
53000,0.024222
54000,0.026567
55000,0.014791
56000,0.024098
57000,0.024381
58000,0.016876
59000,0.022081
60000,0.030963
61000,0.015419
62000,0.036008
63000,0.028426
64000,0.024308
65000,0.028177
66000,0.032167
67000,0.022851
68000,0.039081
69000,0.034674
70000,0.029723
71000,0.021813
72000,0.025748
73000,0.027715
74000,0.025765
75000,0.031302
76000,0.034005
77000,0.028045
78000,0.027919
79000,0.027907
80000,0.033555
81000,0.030422
82000,0.034185
83000,0.021810
84000,0.036604
85000,0.019899
86000,0.024875
87000,0.036621
88000,0.018867
89000,0.038593
90000,0.021926
91000,0.029767
92000,0.034975
93000,0.022013
94000,0.029176
95000,0.019438
96000,0.037576
97000,0.022408
98000,0.026431
99000,0.043464
100000,0.024468
101000,0.034566
102000,0.032248
103000,0.040670
104000,0.043429
105000,0.039009
106000,0.035161
107000,0.040524
108000,0.028937
109000,0.036302
110000,0.041045
111000,0.038303
112000,0.036543
113000,0.035064
114000,0.042589
115000,0.033264
116000,0.041795
117000,0.028580
118000,0.047071
119000,0.043267
120000,0.030461
121000,0.040645
122000,0.039531
123000,0.037306
124000,0.037822
125000,0.049134
126000,0.049164
127000,0.041437
128000,0.034885
129000,0.045951
130000,0.038466
131000,0.034916
132000,0.044118
133000,0.044923
134000,0.038870
135000,0.046277
136000,0.034988
137000,0.039100
138000,0.051271
139000,0.054805
140000,0.049221
141000,0.049984
142000,0.045643
143000,0.048590
144000,0.040598
145000,0.044766
146000,0.051277
147000,0.043530
148000,0.050181
149000,0.042700
150000,0.052140
151000,0.042837
152000,0.041485
153000,0.051953
154000,0.040719
155000,0.055397
156000,0.043646
157000,0.044076
158000,0.051370
159000,0.052346
160000,0.047400
161000,0.051767
162000,0.043449
163000,0.044321
164000,0.051764
165000,0.049291
166000,0.047415
167000,0.060017
168000,0.056392
169000,0.042623
170000,0.053205
171000,0.050554
172000,0.045839
173000,0.051491
174000,0.048227
175000,0.052305
176000,0.058255
177000,0.058618
178000,0.054941
179000,0.058224
180000,0.055672
181000,0.057355
182000,0.053200
183000,0.057219
184000,0.053206
185000,0.063290
186000,0.046970
187000,0.063182
188000,0.047669
189000,0.067593
190000,0.051625
191000,0.048872
192000,0.056077
193000,0.056801
194000,0.058247
195000,0.057488
196000,0.055648
197000,0.062144
198000,0.059293
199000,0.054591
200000,0.060861
201000,0.059310
202000,0.056664
203000,0.053822
204000,0.070415
205000,0.058199
206000,0.064497
207000,0.065567
208000,0.059286
209000,0.068823
210000,0.058119
211000,0.062352
212000,0.058711
213000,0.060262
214000,0.057759
215000,0.060675
216000,0.066347
217000,0.059518
218000,0.058757
219000,0.063932
220000,0.062285
221000,0.063054
222000,0.060841
223000,0.066316
224000,0.062420
225000,0.067726
226000,0.063382
227000,0.063143
228000,0.062245
229000,0.068767
230000,0.064350
231000,0.064350
232000,0.066362
233000,0.067100
234000,0.073658
235000,0.069229
236000,0.071587
237000,0.067687
238000,0.066539
239000,0.065189
240000,0.066326
241000,0.071525
242000,0.069536
243000,0.068339
244000,0.067657
245000,0.074573
246000,0.067895
247000,0.065530
248000,0.065519
249000,0.074055
250000,0.074221
251000,0.071389
252000,0.071952
253000,0.067517
254000,0.068364
255000,0.071135
256000,0.070670
257000,0.072022
258000,0.071580
259000,0.070263
260000,0.070187
261000,0.072360
262000,0.071030
263000,0.072569
264000,0.073686
265000,0.082995
266000,0.063588
267000,0.069474
268000,0.072810
269000,0.074646
270000,0.072945
271000,0.101565
272000,0.155721
273000,0.109294
274000,0.094702
275000,0.094937
276000,0.093916
277000,0.098920
278000,0.094696
279000,0.090864
280000,0.082137
281000,0.102612
282000,0.202198
283000,0.156628
284000,0.169662
285000,0.143048
286000,0.108244
287000,0.137673
288000,0.099816
289000,0.097917
290000,0.097028
291000,0.100961
292000,0.111869
293000,0.122137
294000,0.174756
295000,0.205922
296000,0.157799
297000,0.110487
298000,0.100295
299000,0.113536
300000,0.098518
301000,0.096458
302000,0.095479
303000,0.090547
304000,0.118346
305000,0.205611
306000,0.144622
307000,0.081317
308000,0.079525
309000,0.080629
310000,0.075559
311000,0.079340
312000,0.078663
313000,0.077895
314000,0.080800
315000,0.082897
316000,0.080713
317000,0.082787
318000,0.079526
319000,0.080855
320000,0.081390
321000,0.079413
322000,0.083502
323000,0.087478
324000,0.082588
325000,0.082803
326000,0.081084
327000,0.082690
328000,0.082444
329000,0.081224
330000,0.081636
331000,0.086420
332000,0.081278
333000,0.082799
334000,0.082006
335000,0.100525
336000,0.110851
337000,0.107973
338000,0.108562
339000,0.108233
340000,0.109507
341000,0.114956
342000,0.113027
343000,0.095874
344000,0.086295
345000,0.093324
346000,0.084228
347000,0.086747
348000,0.085515
349000,0.087373
350000,0.087396
351000,0.085667
352000,0.085993
353000,0.096257
354000,0.086870
355000,0.089593
356000,0.092743
357000,0.093745
358000,0.088007
359000,0.090838
360000,0.087421
361000,0.088279
362000,0.088542
363000,0.087976
364000,0.091459
365000,0.093042
366000,0.095833
367000,0.089623
368000,0.088992
369000,0.091690
370000,0.089423
371000,0.091325
372000,0.097178
373000,0.090128
374000,0.091751
375000,0.093045
376000,0.094687
377000,0.096854
378000,0.086873
379000,0.093306
380000,0.091467
381000,0.096097
382000,0.094358
383000,0.094271
384000,0.093430
385000,0.099119
386000,0.096954
387000,0.101992
388000,0.122718
389000,0.107867
390000,0.100766
391000,0.096715
392000,0.094697
393000,0.094381
394000,0.150485
395000,0.117475
396000,0.096073
397000,0.095169
398000,0.095633
399000,0.101882
400000,0.095429
401000,0.096786
402000,0.098102
403000,0.099801
404000,0.099206
405000,0.104842
406000,0.106737
407000,0.106529
408000,0.108795
409000,0.109830
410000,0.117793
411000,0.112452
412000,0.109758
413000,0.101120
414000,0.097605
415000,0.105172
416000,0.098548
417000,0.098536
418000,0.100184
419000,0.101345
420000,0.100691
421000,0.099055
422000,0.099916
423000,0.101009
424000,0.102112
425000,0.098495
426000,0.108139
427000,0.099585
428000,0.100583
429000,0.101875
430000,0.101572
431000,0.107932
432000,0.099610
433000,0.101835
434000,0.107422
435000,0.105541
436000,0.104978
437000,0.102219
438000,0.109190
439000,0.101234
440000,0.123303
441000,0.110220
442000,0.103768
443000,0.102592
444000,0.103674
445000,0.105066
446000,0.110621
447000,0.101801
448000,0.106389
449000,0.106460
450000,0.104184
451000,0.104887
452000,0.113944
453000,0.106280
454000,0.105880
455000,0.106891
456000,0.109756
457000,0.104020
458000,0.107977
459000,0.106215
460000,0.105623
461000,0.105662
462000,0.108665
463000,0.117025
464000,0.106485
465000,0.107482
466000,0.120486
467000,0.115055
468000,0.110538
469000,0.107548
470000,0.110304
471000,0.115622
472000,0.110562
473000,0.104942
474000,0.110173
475000,0.111530
476000,0.111787
477000,0.109959
478000,0.113403
479000,0.116863
480000,0.109645
481000,0.115428
482000,0.115426
483000,0.113489
484000,0.112101
485000,0.112132
486000,0.110921
487000,0.122121
488000,0.111346
489000,0.109863
490000,0.113164
491000,0.114000
492000,0.120962
493000,0.115063
494000,0.112971
495000,0.115906
496000,0.112610
497000,0.108716
498000,0.114992
499000,0.115469
500000,0.113533
