N,seconds
1000,0.000284
2000,0.000408
3000,0.000658
4000,0.000885
5000,0.001252
6000,0.001418
7000,0.001522
8000,0.001704
9000,0.002968
10000,0.002383
11000,0.006291
12000,0.003192
13000,0.005416
14000,0.004672
15000,0.003655
16000,0.004534
17000,0.003879
18000,0.004152
19000,0.008804
20000,0.005270
21000,0.005322
22000,0.005398
23000,0.006889
24000,0.009591
25000,0.007901
26000,0.006182
27000,0.006806
28000,0.006804
29000,0.011041
30000,0.007715
31000,0.008829
32000,0.011417
33000,0.008362
34000,0.008138
35000,0.010435
36000,0.011437
37000,0.008977
38000,0.012442
39000,0.010425
40000,0.009962
41000,0.015243
42000,0.010146
43000,0.013752
44000,0.012070
45000,0.011708
46000,0.016595
47000,0.012040
48000,0.015522
49000,0.016481
50000,0.017295
51000,0.012396
52000,0.016436
53000,0.013359
54000,0.015495
55000,0.015101
56000,0.018619
57000,0.014923
58000,0.019223
59000,0.018342
60000,0.016541
61000,0.018652
62000,0.020810
63000,0.018561
64000,0.018521
65000,0.018263
66000,0.018092
67000,0.019805
68000,0.017163
69000,0.019780
70000,0.019847
71000,0.020083
72000,0.020853
73000,0.020224
74000,0.020314
75000,0.021994
76000,0.019747
77000,0.021616
78000,0.022429
79000,0.033709
80000,0.027736
81000,0.028298
82000,0.029403
83000,0.031206
84000,0.030584
85000,0.023407
86000,0.023428
87000,0.024302
88000,0.026393
89000,0.022746
90000,0.024467
91000,0.026969
92000,0.026523
93000,0.027934
94000,0.026091
95000,0.024675
96000,0.028809
97000,0.027826
98000,0.028193
99000,0.027872
100000,0.029606
101000,0.045966
102000,0.030344
103000,0.035129
104000,0.030372
105000,0.028382
106000,0.030377
107000,0.027917
108000,0.029434
109000,0.029781
110000,0.033382
111000,0.032038
112000,0.032500
113000,0.034858
114000,0.049845
115000,0.033165
116000,0.034000
117000,0.032841
118000,0.034503
119000,0.033798
120000,0.035064
121000,0.034780
122000,0.038316
123000,0.033575
124000,0.036626
125000,0.035878
126000,0.040064
127000,0.036966
128000,0.037113
129000,0.037504
130000,0.037835
131000,0.038860
132000,0.038772
133000,0.037786
134000,0.036757
135000,0.038422
136000,0.039966
137000,0.038904
138000,0.041289
139000,0.038763
140000,0.038289
141000,0.041049
142000,0.041131
143000,0.040672
144000,0.043467
145000,0.039525
146000,0.041604
147000,0.043135
148000,0.040631
149000,0.042120
150000,0.044002
151000,0.045793
152000,0.046037
153000,0.046013
154000,0.045272
155000,0.047212
156000,0.043495
157000,0.043233
158000,0.044888
159000,0.043730
160000,0.046617
161000,0.046196
162000,0.045379
163000,0.048513
164000,0.052507
165000,0.051015
166000,0.054264
167000,0.048310
168000,0.060321
169000,0.071139
170000,0.051947
171000,0.049937
172000,0.047136
173000,0.050288
174000,0.049618
175000,0.051916
176000,0.048821
177000,0.051632
178000,0.049390
179000,0.055558
180000,0.051251
181000,0.053934
182000,0.052871
183000,0.051796
184000,0.051094
185000,0.054586
186000,0.052637
187000,0.050668
188000,0.055392
189000,0.052194
190000,0.057762
191000,0.051761
192000,0.055722
193000,0.052159
194000,0.057199
195000,0.053293
196000,0.054787
197000,0.054480
198000,0.057317
199000,0.056281
200000,0.055672
201000,0.056913
202000,0.055947
203000,0.058077
204000,0.057077
205000,0.059924
206000,0.058173
207000,0.057776
208000,0.058238
209000,0.060555
210000,0.058578
211000,0.058638
212000,0.061393
213000,0.059954
214000,0.060862
215000,0.060159
216000,0.060664
217000,0.059702
218000,0.064217
219000,0.061825
220000,0.060791
221000,0.064016
222000,0.062061
223000,0.062150
224000,0.063216
225000,0.063830
226000,0.061623
227000,0.065658
228000,0.070238
229000,0.062999
230000,0.063945
231000,0.064256
232000,0.067535
233000,0.063377
234000,0.066189
235000,0.066890
236000,0.065769
237000,0.066793
238000,0.066603
239000,0.068134
240000,0.067716
241000,0.069180
242000,0.067682
243000,0.069171
244000,0.068526
245000,0.069051
246000,0.068297
247000,0.071148
248000,0.072434
249000,0.072805
250000,0.070788
251000,0.070267
252000,0.071113
253000,0.073293
254000,0.071494
255000,0.071179
256000,0.073415
257000,0.074283
258000,0.070899
259000,0.075466
260000,0.074149
261000,0.072222
262000,0.086305
263000,0.072087
264000,0.087106
265000,0.078488
266000,0.076114
267000,0.074958
268000,0.075762
269000,0.074846
270000,0.076386
271000,0.076732
272000,0.077996
273000,0.076609
274000,0.078524
275000,0.077278
276000,0.076935
277000,0.078514
278000,0.078542
279000,0.079177
280000,0.080622
281000,0.079720
282000,0.079687
283000,0.079903
284000,0.081901
285000,0.081357
286000,0.080725
287000,0.082308
288000,0.081239
289000,0.080728
290000,0.083785
291000,0.080374
292000,0.085712
293000,0.083039
294000,0.082804
295000,0.084012
296000,0.084264
297000,0.082683
298000,0.084573
299000,0.084666
300000,0.088282
301000,0.091497
302000,0.085371
303000,0.083962
304000,0.085757
305000,0.086317
306000,0.086078
307000,0.085419
308000,0.086988
309000,0.086101
310000,0.087183
311000,0.088448
312000,0.088680
313000,0.091509
314000,0.088129
315000,0.088091
316000,0.089137
317000,0.089695
318000,0.089350
319000,0.090030
320000,0.088106
321000,0.091304
322000,0.089483
323000,0.090079
324000,0.091012
325000,0.090883
326000,0.094339
327000,0.092372
328000,0.090963
329000,0.091264
330000,0.092166
331000,0.105458
332000,0.095881
333000,0.094162
334000,0.093870
335000,0.092884
336000,0.096978
337000,0.094702
338000,0.098750
339000,0.097484
340000,0.095441
341000,0.095354
342000,0.096785
343000,0.098333
344000,0.096264
345000,0.096554
346000,0.098148
347000,0.097876
348000,0.097688
349000,0.097627
350000,0.095082
351000,0.098425
