N,seconds
1000,0.000596
2000,0.001475
3000,0.001011
4000,0.001406
5000,0.000998
6000,0.001313
7000,0.003835
8000,0.008970
9000,0.002388
10000,0.007431
11000,0.005484
12000,0.002125
13000,0.002946
14000,0.007632
15000,0.013331
16000,0.004358
17000,0.004510
18000,0.005276
19000,0.026661
20000,0.014718
21000,0.010834
22000,0.007978
23000,0.025624
24000,0.009047
25000,0.004263
26000,0.011120
27000,0.026003
28000,0.005885
29000,0.010418
30000,0.018528
31000,0.005243
32000,0.016531
33000,0.005340
34000,0.012576
35000,0.018985
36000,0.008060
37000,0.018005
38000,0.016759
39000,0.017794
40000,0.006812
41000,0.027205
42000,0.014734
43000,0.021000
44000,0.023532
45000,0.010758
46000,0.025274
47000,0.018850
48000,0.013571
49000,0.024050
50000,0.010234
51000,0.022093
52000,0.015186
53000,0.021190
54000,0.024997
55000,0.014843
56000,0.017679
57000,0.029648
58000,0.019346
59000,0.027069
60000,0.028481
61000,0.031019
62000,0.026292
63000,0.024686
64000,0.017963
65000,0.024435
66000,0.019532
67000,0.023266
68000,0.023749
69000,0.027310
70000,0.024213
71000,0.019727
72000,0.023804
73000,0.033209
74000,0.023602
75000,0.031424
76000,0.025285
77000,0.020827
78000,0.029656
79000,0.025683
80000,0.030991
81000,0.033872
82000,0.031874
83000,0.023075
84000,0.038865
85000,0.033135
86000,0.026931
87000,0.033294
88000,0.028439
89000,0.034739
90000,0.033413
91000,0.035377
92000,0.030067
93000,0.030057
94000,0.043800
95000,0.036468
96000,0.027185
97000,0.044177
98000,0.042037
99000,0.034453
100000,0.041583
101000,0.029597
102000,0.044640
103000,0.036358
104000,0.031726
105000,0.036569
106000,0.031045
107000,0.038459
108000,0.034080
109000,0.036406
110000,0.048500
111000,0.037975
112000,0.024907
113000,0.039913
114000,0.037846
115000,0.027739
116000,0.044175
117000,0.041160
118000,0.031646
119000,0.045298
120000,0.028582
121000,0.045903
122000,0.029489
123000,0.056185
124000,0.026803
125000,0.042989
126000,0.040353
127000,0.045986
128000,0.047580
129000,0.043750
130000,0.031888
131000,0.051467
132000,0.036237
133000,0.043232
134000,0.030487
135000,0.050464
136000,0.044830
137000,0.040995
138000,0.043015
139000,0.044839
140000,0.044118
141000,0.037233
142000,0.050215
143000,0.042171
144000,0.045160
145000,0.044735
146000,0.047804
147000,0.041532
148000,0.047903
149000,0.043229
150000,0.045693
151000,0.049684
152000,0.044398
153000,0.053908
154000,0.037944
155000,0.054228
156000,0.057885
157000,0.040443
158000,0.051850
159000,0.055274
160000,0.039577
161000,0.053700
162000,0.048352
163000,0.048827
164000,0.035855
165000,0.056236
166000,0.039771
167000,0.059884
168000,0.053314
169000,0.044892
170000,0.055200
171000,0.046863
172000,0.054614
173000,0.050680
174000,0.048552
175000,0.048739
176000,0.047478
177000,0.056149
178000,0.048830
179000,0.050454
180000,0.051053
181000,0.059385
182000,0.051863
183000,0.055095
184000,0.055083
185000,0.058897
186000,0.062614
187000,0.060882
188000,0.042362
189000,0.055639
190000,0.057447
191000,0.055805
192000,0.060206
193000,0.057874
194000,0.061625
195000,0.053561
196000,0.056572
197000,0.058749
198000,0.049784
199000,0.054613
200000,0.051718
201000,0.057302
202000,0.056601
203000,0.058245
204000,0.057702
205000,0.053589
206000,0.061513
207000,0.056963
208000,0.060931
209000,0.063155
210000,0.063139
211000,0.058307
212000,0.059561
213000,0.059288
214000,0.061401
215000,0.061905
216000,0.056864
217000,0.065752
218000,0.065948
219000,0.057941
220000,0.061860
221000,0.060979
222000,0.065029
223000,0.066825
224000,0.083807
225000,0.079253
226000,0.079906
227000,0.079595
228000,0.080461
229000,0.079091
230000,0.080567
231000,0.079006
232000,0.084935
233000,0.077571
234000,0.078923
235000,0.065657
236000,0.062569
237000,0.067511
238000,0.077904
239000,0.050812
240000,0.064019
241000,0.070642
242000,0.066713
243000,0.066807
244000,0.068086
245000,0.068788
246000,0.071981
247000,0.062754
248000,0.067537
249000,0.068850
250000,0.066985
251000,0.067604
252000,0.068815
253000,0.067939
254000,0.066985
255000,0.070645
256000,0.069743
257000,0.068987
258000,0.072464
259000,0.069664
260000,0.071255
261000,0.069596
262000,0.072656
263000,0.070822
264000,0.069921
265000,0.071425
266000,0.071354
267000,0.073051
268000,0.073620
269000,0.070188
270000,0.077731
271000,0.066501
272000,0.071531
273000,0.070399
274000,0.075096
275000,0.073339
276000,0.072657
277000,0.078399
278000,0.075992
279000,0.075197
280000,0.075333
281000,0.075557
282000,0.076532
283000,0.076299
284000,0.074246
285000,0.082764
286000,0.083552
287000,0.073203
288000,0.074872
289000,0.093773
290000,0.078248
291000,0.084769
292000,0.083129
293000,0.078694
294000,0.078523
295000,0.078714
296000,0.079833
297000,0.080926
298000,0.089470
299000,0.083136
300000,0.080692
301000,0.081746
302000,0.083445
303000,0.085087
304000,0.083813
305000,0.082961
306000,0.083884
307000,0.082770
308000,0.083920
309000,0.082867
310000,0.095433
311000,0.096896
312000,0.081180
313000,0.083258
314000,0.083620
315000,0.082112
316000,0.083987
317000,0.088768
318000,0.084740
319000,0.083020
320000,0.083066
321000,0.084665
322000,0.086540
323000,0.083813
324000,0.079968
325000,0.087897
326000,0.086274
327000,0.084771
328000,0.086021
329000,0.085890
330000,0.087660
331000,0.085789
332000,0.088200
333000,0.083121
334000,0.084375
335000,0.085632
336000,0.096613
337000,0.087788
338000,0.086784
339000,0.087736
340000,0.087442
341000,0.088105
342000,0.095673
343000,0.085018
344000,0.084319
345000,0.086554
346000,0.086346
347000,0.086691
348000,0.087947
349000,0.087160
350000,0.089049
351000,0.088584
352000,0.093664
353000,0.088288
354000,0.089265
355000,0.085999
356000,0.093239
357000,0.113761
358000,0.088850
359000,0.089382
360000,0.098367
361000,0.089734
362000,0.094741
363000,0.089992
364000,0.092567
365000,0.091832
366000,0.102304
367000,0.092312
368000,0.092495
369000,0.091827
370000,0.092069
371000,0.089159
372000,0.092069
373000,0.094010
374000,0.093362
375000,0.093735
376000,0.090344
377000,0.090600
378000,0.100981
379000,0.093532
380000,0.090796
381000,0.092409
382000,0.090839
383000,0.096747
384000,0.100689
385000,0.094112
386000,0.091329
387000,0.095492
388000,0.093761
389000,0.093869
390000,0.093130
391000,0.093881
392000,0.093098
393000,0.094007
394000,0.096114
395000,0.097621
396000,0.093557
397000,0.098268
398000,0.091648
399000,0.095730
400000,0.094859
401000,0.099337
402000,0.106516
403000,0.101023
404000,0.104282
405000,0.111031
406000,0.107049
407000,0.097709
408000,0.094762
409000,0.098288
410000,0.096384
411000,0.097788
412000,0.093351
413000,0.096311
414000,0.097406
415000,0.115741
416000,0.106728
417000,0.114237
418000,0.096716
419000,0.096512
420000,0.099290
421000,0.097296
422000,0.105333
423000,0.100300
424000,0.097554
425000,0.102266
426000,0.100418
427000,0.103094
428000,0.100692
429000,0.103358
430000,0.097483
431000,0.100322
432000,0.101199
433000,0.097193
434000,0.102181
435000,0.100854
436000,0.097598
437000,0.103234
438000,0.107657
439000,0.103752
440000,0.101160
441000,0.104482
442000,0.105318
443000,0.116712
444000,0.105822
445000,0.104337
446000,0.109417
447000,0.106418
448000,0.108582
449000,0.108236
450000,0.105045
451000,0.107037
452000,0.106362
453000,0.112112
454000,0.104750
455000,0.107674
456000,0.111778
457000,0.105511
458000,0.114091
459000,0.107649
460000,0.111018
461000,0.114188
462000,0.109733
463000,0.116413
464000,0.110997
465000,0.111503
466000,0.114086
467000,0.111609
468000,0.111938
469000,0.109600
470000,0.110609
471000,0.110874
472000,0.114169
473000,0.116428
474000,0.114059
475000,0.117777
476000,0.113317
477000,0.114874
478000,0.121259
479000,0.112379
480000,0.115715
481000,0.110545
482000,0.112409
483000,0.110823
484000,0.109547
485000,0.112506
486000,0.114253
487000,0.116647
488000,0.110425
489000,0.109520
490000,0.113274
491000,0.112060
492000,0.122359
493000,0.113351
494000,0.118604
495000,0.123709
496000,0.115121
497000,0.110450
498000,0.116278
499000,0.116118
500000,0.111258
