N,seconds
1000,0.000389
2000,0.000415
3000,0.000580
4000,0.000737
5000,0.000857
6000,0.001040
7000,0.001276
8000,0.001581
9000,0.001729
10000,0.010399
11000,0.003072
12000,0.003756
13000,0.002589
14000,0.013004
15000,0.006459
16000,0.022038
17000,0.003078
18000,0.006187
19000,0.003542
20000,0.019033
21000,0.004066
22000,0.010781
23000,0.009594
24000,0.004454
25000,0.014831
26000,0.013847
27000,0.009494
28000,0.009543
29000,0.013263
30000,0.012473
31000,0.019258
32000,0.015142
33000,0.016167
34000,0.012187
35000,0.016433
36000,0.023249
37000,0.019162
38000,0.022729
39000,0.020555
40000,0.014049
41000,0.025605
42000,0.021524
43000,0.013382
44000,0.025264
45000,0.014037
46000,0.016593
47000,0.018832
48000,0.025863
49000,0.022492
50000,0.028586
51000,0.019748
52000,0.016186
53000,0.024870
54000,0.027823
55000,0.019362
56000,0.027133
57000,0.029579
58000,0.027734
59000,0.028771
60000,0.017196
61000,0.031776
62000,0.022764
63000,0.027624
64000,0.029631
65000,0.027010
66000,0.035751
67000,0.028428
68000,0.028553
69000,0.032311
70000,0.016853
71000,0.035967
72000,0.021051
73000,0.030066
74000,0.024825
75000,0.030087
76000,0.032646
77000,0.030107
78000,0.039696
79000,0.040978
80000,0.026293
81000,0.042146
82000,0.047064
83000,0.023951
84000,0.046564
85000,0.043047
86000,0.041360
87000,0.024783
88000,0.038134
89000,0.034467
90000,0.037881
91000,0.035980
92000,0.038393
93000,0.047945
94000,0.025221
95000,0.045262
96000,0.044417
97000,0.034360
98000,0.040044
99000,0.045579
100000,0.030653
101000,0.039066
102000,0.040513
103000,0.043077
104000,0.044951
105000,0.043026
106000,0.030532
107000,0.049472
108000,0.042290
109000,0.045860
110000,0.042041
111000,0.049374
112000,0.046868
113000,0.042227
114000,0.044130
115000,0.061647
116000,0.049748
117000,0.050114
118000,0.042927
119000,0.050935
120000,0.033503
121000,0.052596
122000,0.047205
123000,0.059792
124000,0.046340
125000,0.048152
126000,0.048876
127000,0.051917
128000,0.055760
129000,0.034140
130000,0.062905
131000,0.049727
132000,0.048774
133000,0.050043
134000,0.053127
135000,0.051016
136000,0.052266
137000,0.054571
138000,0.055935
139000,0.053082
140000,0.052840
141000,0.057893
142000,0.058065
143000,0.054696
144000,0.053755
145000,0.056772
146000,0.050241
147000,0.061673
148000,0.055238
149000,0.060567
150000,0.057193
151000,0.053209
152000,0.054959
153000,0.058716
154000,0.051229
155000,0.057033
156000,0.058663
157000,0.055444
158000,0.060983
159000,0.057695
160000,0.060104
161000,0.057861
162000,0.061799
163000,0.063769
164000,0.075548
165000,0.062220
166000,0.060283
167000,0.061778
168000,0.065628
169000,0.064532
170000,0.066971
171000,0.064870
172000,0.062194
173000,0.062588
174000,0.064683
175000,0.061656
176000,0.060615
177000,0.066152
178000,0.060463
179000,0.068132
180000,0.071587
181000,0.065538
182000,0.064828
183000,0.064723
184000,0.066048
185000,0.065142
186000,0.064040
187000,0.065378
188000,0.067132
189000,0.072940
190000,0.064928
191000,0.068552
192000,0.070078
193000,0.068427
194000,0.068217
195000,0.067970
196000,0.067617
197000,0.087491
198000,0.073902
199000,0.070898
200000,0.072001
201000,0.073236
202000,0.072237
203000,0.071364
204000,0.078955
205000,0.068343
206000,0.070093
207000,0.071604
208000,0.072975
209000,0.074609
210000,0.073056
211000,0.074809
212000,0.084035
213000,0.107550
214000,0.076278
215000,0.079183
216000,0.077271
217000,0.074417
218000,0.086258
219000,0.093246
220000,0.090148
221000,0.092173
222000,0.096451
223000,0.094381
224000,0.106149
225000,0.091935
226000,0.094434
227000,0.094575
228000,0.082037
229000,0.088567
230000,0.104500
231000,0.085454
232000,0.083747
233000,0.082303
234000,0.084297
235000,0.082776
236000,0.082729
237000,0.092282
238000,0.094506
239000,0.081301
240000,0.085109
241000,0.083694
242000,0.085836
243000,0.084755
244000,0.083241
245000,0.086223
246000,0.092759
247000,0.086263
248000,0.084923
249000,0.086898
250000,0.095973
251000,0.085408
252000,0.085828
253000,0.087596
254000,0.094296
255000,0.090037
256000,0.107378
257000,0.088051
258000,0.087713
259000,0.086829
260000,0.087506
261000,0.089830
262000,0.095719
263000,0.101830
264000,0.097576
265000,0.093699
266000,0.091548
267000,0.088184
268000,0.102246
269000,0.091868
270000,0.098060
271000,0.111903
272000,0.117624
273000,0.106923
274000,0.118846
275000,0.115344
276000,0.152048
277000,0.076307
278000,0.073198
279000,0.076454
280000,0.118312
281000,0.076543
282000,0.203614
283000,0.144544
284000,0.148324
285000,0.166940
286000,0.137220
287000,0.193602
288000,0.190315
289000,0.131666
290000,0.072401
291000,0.073376
292000,0.089261
293000,0.111095
294000,0.089961
295000,0.236863
296000,0.126458
297000,0.096603
298000,0.145922
299000,0.108008
300000,0.117869
301000,0.081200
302000,0.079033
