N,seconds,theo_seconds_quad,theo_seconds_log
1000,0.000222,0.000222,0.000222
2000,0.000794,0.003176,0.00174734521103813
3000,0.000728,0.006552,0.00253134427343591
4000,0.001036,0.016576,0.00497564553468769
5000,0.001377,0.034425,0.00848913615995116
6000,0.001615,0.05814,0.0122034285387392
7000,0.001747,0.085603,0.0156739013104448
8000,0.002307,0.147648,0.0240118095999744
9000,0.003266,0.264546,0.0387436681074865
10000,0.003587,0.3587,0.0478266666666667
11000,0.004197,0.507837,0.0621929920318999
12000,0.004964,0.714816,0.0809962228215216
13000,0.004813,0.813397,0.0858017738701621
14000,0.011305,2.21578,0.218735894735598
15000,0.004941,1.111725,0.103170334554971
16000,0.005763,1.475328,0.129217831786912
17000,0.006033,1.743537,0.144626357275159
18000,0.00581,1.88244,0.148338799527901
19000,0.005932,2.141452,0.160749920285397
20000,0.006499,2.5996,0.186349292945468
21000,0.006959,3.068919,0.210548268504373
22000,0.006968,3.372512,0.221892009093107
23000,0.018441,9.755289,0.616665443184003
24000,0.013161,7.580736,0.461183681217332
25000,0.010225,6.390625,0.37474113823893
26000,0.013985,9.45386,0.53510948635189
27000,0.00884,6.44436,0.352559301076489
28000,0.009023,7.074032,0.374515931223475
29000,0.013916,11.703356,0.600287728541365
30000,0.012197,10.9773,0.546074479438157
31000,0.009957,9.568677,0.462111713316914
32000,0.013967,14.302208,0.671183250636737
33000,0.014385,15.665265,0.714987053276577
34000,0.016382,18.937592,0.841326459681844
35000,0.013375,16.384375,0.709063951087158
36000,0.014378,18.633888,0.786126208272385
37000,0.015603,21.360507,0.87909103517428
38000,0.013352,19.280288,0.77455742737235
39000,0.017748,26.994708,1.05926879039158
40000,0.017034,27.2544,1.04521986523041
41000,0.02271,38.17551,1.4316697256101
42000,0.019552,34.489728,1.26551278176204
43000,0.015272,28.237928,1.01426006696843
44000,0.019321,37.405456,1.31583685438171
45000,0.016225,32.855625,1.13247559554007
46000,0.01857,39.29412,1.32767366499301
47000,0.016654,36.788686,1.21900951104163
48000,0.02128,49.02912,1.59386901650164
49000,0.020157,48.396957,1.54415794562387
50000,0.0285,71.25,2.23201075205961
51000,0.035044,91.149444,2.80452551726999
52000,0.026982,72.959328,2.20561817177787
53000,0.025019,70.278371,2.08814095767391
54000,0.028127,82.018332,2.39594470708573
55000,0.027369,82.791225,2.37854808489408
56000,0.023694,74.304384,2.10006658608852
57000,0.02193,71.25057,1.98163037611306
58000,0.026202,88.143528,2.41301924555516
59000,0.023693,82.475333,2.2230373353328
60000,0.02623,94.428,2.50661814595126
61000,0.024741,92.061261,2.40734152410936
62000,0.025848,99.359712,2.56005730139645
63000,0.028564,113.370516,2.87885563254643
64000,0.031976,130.973696,3.27855809809299
65000,0.027596,116.5931,2.87770506811485
66000,0.030412,132.474672,3.22458334368938
67000,0.028405,127.510045,3.06155728987935
68000,0.034022,157.317728,3.72666334650341
69000,0.030455,144.996255,3.38944442834327
70000,0.030039,147.1911,3.39597766722639
71000,0.030258,152.530578,3.47401521106782
72000,0.031075,161.0928,3.62259857583844
73000,0.031262,166.595198,3.69957184849175
74000,0.04509,246.91284,5.41565690331919
75000,0.04987,280.51875,6.0779826301336
76000,0.032251,186.281776,3.98774835217108
77000,0.03278,194.35262,4.11126525992628
78000,0.037534,228.356856,4.774116849252
79000,0.034603,215.957323,4.46277820965131
80000,0.036349,232.6336,4.75259781165787
81000,0.042593,279.452673,5.64481176504565
82000,0.054241,364.716484,7.28515817590197
83000,0.03462,238.49718,4.71159137843965
84000,0.040146,283.270176,5.53532325411073
85000,0.040382,291.75995,5.64002752664884
86000,0.039203,289.945388,5.54548475981091
87000,0.036923,279.470187,5.28907421156868
88000,0.040024,309.945856,5.80500725112406
89000,0.039677,314.281517,5.82584943637829
90000,0.040283,326.2923,5.98715253023233
91000,0.043414,359.511334,6.53051863118891
92000,0.041415,350.53656,6.3043083679985
93000,0.04647,401.91903,7.15744748119834
94000,0.04518,399.21048,7.04015871466988
95000,0.052137,470.536425,8.21824656094992
96000,0.047834,440.838144,7.62630278915887
97000,0.041819,393.474971,6.74285176468739
98000,0.045106,433.198024,7.35438528342606
99000,0.047807,468.556407,7.88126894768813
100000,0.048625,486.25,8.10416666666667
101000,0.045498,464.125098,7.66544933343354
102000,0.048622,505.863288,8.27995735674787
103000,0.044252,469.469468,7.61609716845609
104000,0.046216,499.872256,8.03806337737979
105000,0.048613,535.958325,8.54332763884904
106000,0.050011,561.923596,8.87999353084739
107000,0.048278,552.734822,8.66017304401409
108000,0.048894,570.299616,8.85975195962804
109000,0.045942,545.836902,8.40860328345144
110000,0.055833,675.5793,10.3207895189828
111000,0.048842,601.782282,9.11767560240622
112000,0.054398,682.368512,10.2542481812293
113000,0.050607,646.200783,9.63216296973276
114000,0.049657,645.342372,9.54220751970698
115000,0.059061,781.081725,11.4574452140498
116000,0.057351,771.715056,11.2308002320859
117000,0.060154,823.448106,11.8899944407717
118000,0.053544,745.546656,10.6817081078352
119000,0.05582,790.46702,11.2382422449356
120000,0.058234,838.5696,11.8312416272935
121000,0.054935,804.303335,11.2619868441728
122000,0.058031,863.733404,12.003439591578
123000,0.067678,1023.900462,14.1234585234118
124000,0.056122,862.931872,11.8152578216732
125000,0.057696,901.5,12.2529716712714
126000,0.058253,924.824628,12.4786991853188
127000,0.06815,1099.19135,14.7245587983533
128000,0.072979,1195.687936,15.9026805919971
129000,0.059539,990.788499,13.0840142327448
130000,0.062799,1061.3031,13.9165229051991
131000,0.061653,1058.027133,13.7766205540098
132000,0.067947,1183.908528,15.3088160237603
133000,0.063918,1130.645502,14.5194481473051
134000,0.061649,1106.969444,14.1182794725762
135000,0.063338,1154.33505,14.6225286103022
136000,0.064676,1196.247296,15.0514265638448
137000,0.063776,1197.011744,14.9603767506875
